,Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
150,LittleBigPlanet,PS3,2008.0,Platform,5.82,95.0,85.0,6.8,5311.0,E
151,Resident Evil 2,PS,1998.0,Action,5.82,89.0,13.0,9.2,364.0,M
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,5.78,87.0,65.0,8.8,197.0,E10+
153,Tekken 2,PS,1996.0,Fighting,5.74,89.0,8.0,8.9,102.0,T
154,Destiny,PS4,2014.0,Shooter,5.64,76.0,95.0,6.1,5380.0,T
155,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,5.64,80.0,17.0,8.9,62.0,E10+
156,Cooking Mama,DS,2006.0,Simulation,5.63,67.0,35.0,7.2,21.0,E
157,Tetris,NES,1988.0,Puzzle,5.58,,,,,
158,Super Smash Bros.,N64,1999.0,Fighting,5.55,,,,,
159,Assassin's Creed II,PS3,2009.0,Action,5.55,91.0,70.0,8.6,1202.0,M
160,Assassin's Creed,X360,2007.0,Adventure,5.54,81.0,77.0,7.7,1074.0,M
161,Forza Motorsport 3,X360,2009.0,Racing,5.49,92.0,90.0,8.0,516.0,E
162,Super Mario Advance,GBA,2001.0,Platform,5.49,84.0,19.0,7.8,41.0,E
163,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,5.48,81.0,48.0,8.7,124.0,T
164,Batman: Arkham City,PS3,2011.0,Action,5.48,96.0,42.0,8.6,2162.0,T
165,Grand Theft Auto V,XOne,2014.0,Action,5.48,97.0,14.0,7.9,764.0,M
166,Mario Kart: Super Circuit,GBA,2001.0,Racing,5.47,93.0,24.0,8.3,108.0,E
167,Super Mario World,GBA,2001.0,Platform,5.46,,,,,
168,Pokemon Stadium,N64,1999.0,Strategy,5.45,,,,,
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,5.42,66.0,22.0,7.1,156.0,E
170,Call of Duty: World at War,PS3,2008.0,Shooter,5.39,85.0,45.0,7.6,409.0,M
171,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,5.38,93.0,113.0,7.9,7064.0,T
172,Dr. Mario,GB,1989.0,Puzzle,5.34,,,,,
173,Final Fantasy XIII,PS3,2009.0,Role-Playing,5.33,83.0,83.0,7.3,2483.0,T
174,Pokemon Pinball,GB,1999.0,Misc,5.31,,,,,
175,Final Fantasy IX,PS,2000.0,Role-Playing,5.3,94.0,22.0,8.9,779.0,T
176,Assassin's Creed III,X360,2012.0,Action,5.29,84.0,61.0,6.7,1196.0,M
177,Final Fantasy X-2,PS2,2003.0,Role-Playing,5.29,85.0,45.0,6.6,400.0,T
178,Donkey Kong 64,N64,1999.0,Platform,5.27,,,,,
179,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,5.27,81.0,53.0,5.4,898.0,M
180,Minecraft,PS3,2014.0,Misc,5.26,,,,,
181,Assassin's Creed II,X360,2009.0,Action,5.26,90.0,82.0,8.8,1305.0,M
182,Tomb Raider II,PS,1997.0,Action,5.24,85.0,13.0,,,T
183,Madden NFL 2004,PS2,,Sports,5.23,94.0,29.0,8.5,140.0,E
184,Tomodachi Life,3DS,2013.0,Simulation,5.23,,,,,
185,New Super Mario Bros. U,WiiU,2012.0,Platform,5.22,84.0,70.0,8.1,733.0,E
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,5.21,89.0,63.0,8.8,245.0,T
187,Super Mario Bros. 3,GBA,2003.0,Platform,5.2,,,,,
188,Professor Layton and the Curious Village,DS,2007.0,Puzzle,5.19,85.0,72.0,8.6,147.0,E
189,Super Mario Land 3: Wario Land,GB,1994.0,Platform,5.19,,,,,
190,FIFA Soccer 13,X360,2012.0,Action,5.16,90.0,48.0,6.1,403.0,E
191,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,5.15,,,,,
192,Diablo III,PC,2012.0,Role-Playing,5.14,88.0,86.0,4.0,9629.0,M
193,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,5.13,68.0,30.0,7.6,100.0,T
194,Kirby's Dream Land,GB,1992.0,Platform,5.13,,,,,
195,Microsoft Flight Simulator,PC,1996.0,Simulation,5.12,,,,,
196,Guitar Hero II,PS2,2006.0,Misc,5.12,92.0,69.0,8.5,112.0,T
197,Fable III,X360,2010.0,Role-Playing,5.1,80.0,88.0,6.5,604.0,M
198,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,5.09,,,,,
199,Resident Evil 5,PS3,2009.0,Action,5.09,84.0,76.0,7.5,667.0,M
200,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,5.08,90.0,57.0,8.0,416.0,E
201,Super Mario Bros.,GB,1999.0,Platform,5.07,,,,,
202,FIFA Soccer 11,PS3,2010.0,Sports,5.07,89.0,51.0,8.0,233.0,E
203,Resident Evil,PS,1996.0,Action,5.05,91.0,8.0,9.0,266.0,M
204,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,5.03,86.0,50.0,8.0,150.0,M
205,Tony Hawk's Pro Skater,PS,1999.0,Sports,5.02,92.0,18.0,9.2,69.0,T
206,Warzone 2100,PS,1999.0,Strategy,5.01,,,,,
207,Spyro the Dragon,PS,1998.0,Platform,5.0,,,,,
208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,4.98,82.0,24.0,8.2,46.0,T
209,Link's Crossbow Training,Wii,2007.0,Shooter,4.98,68.0,34.0,7.1,47.0,T
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,4.93,,,,,
211,Fallout 3,X360,2008.0,Role-Playing,4.93,93.0,84.0,8.5,1655.0,M
212,Uncharted: Drake's Fortune,PS3,2007.0,Action,4.92,88.0,66.0,8.1,2306.0,T
213,Madden NFL 06,PS2,2005.0,Sports,4.91,88.0,29.0,8.0,121.0,E
214,Diddy Kong Racing,N64,1997.0,Racing,4.88,,,,,
215,Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,4.87,,,,,
216,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,4.87,,,,,
217,Dr. Mario,NES,1990.0,Puzzle,4.85,,,,,
218,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,4.84,93.0,82.0,8.2,3052.0,T
219,Assassin's Creed,PS3,2007.0,Adventure,4.82,81.0,40.0,7.3,769.0,M
220,God of War III,PS3,2010.0,Action,4.8,92.0,101.0,8.7,2633.0,M
221,Crash Team Racing,PS,1999.0,Racing,4.79,88.0,20.0,9.0,233.0,E
222,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,4.76,80.0,9.0,5.4,46.0,E
223,Driver 2,PS,2000.0,Action,4.73,62.0,14.0,7.7,92.0,T
224,Batman: Arkham City,X360,2011.0,Action,4.73,94.0,87.0,8.7,1472.0,T
225,The Last of Us,PS4,2014.0,Action,4.71,,,,,
226,The Simpsons: Hit & Run,PS2,2003.0,Racing,4.7,,,,,
227,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,4.68,98.0,19.0,7.7,299.0,T
228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,4.67,82.0,32.0,8.2,78.0,T
229,Tomb Raider,PS,1996.0,Action,4.63,91.0,13.0,8.6,147.0,T
230,Animal Crossing: City Folk,Wii,2008.0,Simulation,4.62,73.0,50.0,7.6,119.0,E
231,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,4.62,86.0,78.0,8.1,1264.0,T
232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,4.61,,,,,
233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,4.6,96.0,80.0,8.9,968.0,E
234,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,4.6,86.0,36.0,8.4,87.0,T
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,4.59,86.0,74.0,8.4,458.0,E
236,Forza Motorsport 4,X360,2011.0,Racing,4.57,91.0,83.0,8.2,617.0,E
237,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,4.53,,,,,
238,Madden NFL 2005,PS2,2004.0,Sports,4.53,91.0,30.0,7.9,78.0,E
239,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,4.53,85.0,69.0,7.9,165.0,T
240,Pitfall!,2600,1981.0,Platform,4.5,,,,,
241,Madden NFL 07,PS2,2006.0,Sports,4.49,84.0,29.0,8.2,39.0,E
242,Halo 5: Guardians,XOne,2015.0,Shooter,4.48,84.0,101.0,6.4,2438.0,T
243,Spider-Man: The Movie,PS2,2002.0,Action,4.48,76.0,25.0,7.9,41.0,E
244,Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,4.47,,,,,
245,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,4.46,77.0,82.0,3.4,1129.0,M
246,God of War,PS2,2005.0,Action,4.45,94.0,75.0,8.9,997.0,M
247,Splatoon,WiiU,2015.0,Shooter,4.43,81.0,88.0,8.5,1184.0,E10+
248,Nintendo Land,WiiU,2012.0,Misc,4.42,77.0,61.0,7.9,471.0,E10+
249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,4.41,97.0,34.0,7.5,298.0,T
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,4.39,86.0,19.0,8.9,33.0,E
251,The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,4.38,94.0,90.0,8.7,1109.0,M
252,Zelda II: The Adventure of Link,NES,1987.0,Adventure,4.38,,,,,
253,Need for Speed: Most Wanted,PS2,2005.0,Racing,4.37,82.0,36.0,9.1,137.0,T
254,Michael Jackson: The Experience,Wii,2010.0,Misc,4.36,56.0,37.0,8.3,31.0,E10+
255,Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,4.36,,,4.8,207.0,M
256,Resistance: Fall of Man,PS3,2006.0,Shooter,4.34,86.0,70.0,8.1,715.0,M
257,Sonic the Hedgehog,GEN,1991.0,Platform,4.34,,,,,
258,Kingdom Hearts II,PS2,2005.0,Role-Playing,4.33,87.0,64.0,9.0,766.0,E10+
259,The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,4.33,,,,,
260,Super Mario 3D World,WiiU,2013.0,Platform,4.32,93.0,83.0,9.0,1607.0,E
261,Minecraft,PS4,2014.0,Misc,4.32,,,,,
262,Asteroids,2600,1980.0,Shooter,4.31,,,,,
263,Call of Duty: Advanced Warfare,X360,2014.0,Shooter,4.29,,,4.9,221.0,M
264,FIFA 15,PS3,2014.0,Sports,4.28,,,4.5,109.0,E
265,Fable II,X360,2008.0,Role-Playing,4.27,89.0,95.0,6.5,2423.0,M
266,Namco Museum,GBA,2001.0,Misc,4.24,79.0,10.0,7.3,6.0,E
267,Batman: Arkham Asylum,PS3,2009.0,Action,4.23,91.0,70.0,8.9,1122.0,T
268,Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,4.23,91.0,68.0,9.3,955.0,M
269,Assassin's Creed: Revelations,PS3,2011.0,Action,4.22,80.0,39.0,7.5,613.0,M
270,Fallout 4,XOne,2015.0,Role-Playing,4.22,88.0,39.0,6.2,1749.0,M
271,FIFA 14,X360,2013.0,Sports,4.22,84.0,41.0,4.2,435.0,E
272,Daxter,PSP,2006.0,Platform,4.21,85.0,59.0,8.7,109.0,E10+
273,Warcraft II: Tides of Darkness,PC,1995.0,Strategy,4.21,,,,,
274,FIFA Soccer 06,PS2,2005.0,Sports,4.21,80.0,32.0,7.8,47.0,E
275,EyeToy Play,PS2,2003.0,Misc,4.2,80.0,32.0,7.5,22.0,E
276,Gran Turismo 5 Prologue,PS3,2007.0,Racing,4.19,80.0,67.0,7.1,120.0,E
277,Assassin's Creed: Revelations,X360,2011.0,Action,4.19,80.0,77.0,7.2,564.0,M
278,FIFA 12,X360,2011.0,Sports,4.18,,,,,
279,Teenage Mutant Ninja Turtles,NES,1989.0,Action,4.17,,,,,
280,Street Fighter IV,PS3,2009.0,Fighting,4.16,94.0,61.0,7.3,330.0,T
281,Excitebike,NES,1984.0,Racing,4.16,,,,,
282,Frogger,PS,1997.0,Action,4.16,,,,,
283,Madden NFL 2003,PS2,2002.0,Sports,4.14,95.0,25.0,7.7,65.0,E
284,Half-Life,PC,1997.0,Shooter,4.12,96.0,24.0,9.1,3161.0,M
285,Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,4.12,,,,,
286,FIFA Soccer 07,PS2,2006.0,Sports,4.11,,,,,
287,Street Fighter II Turbo,SNES,1992.0,Fighting,4.1,,,,,
288,World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,4.09,91.0,46.0,7.9,785.0,T
289,Battlefield 1,PS4,2016.0,Shooter,4.08,88.0,31.0,8.4,809.0,M
290,God of War II,PS2,2007.0,Action,4.07,93.0,70.0,8.9,709.0,M
291,World Soccer Winning Eleven 9,PS2,2005.0,Sports,4.06,,,8.2,23.0,E
292,Fallout: New Vegas,X360,2010.0,Role-Playing,4.05,84.0,81.0,8.1,769.0,M
293,Forza Motorsport 2,X360,2007.0,Racing,4.05,90.0,66.0,8.3,381.0,E
294,Carnival Games,Wii,2007.0,Misc,4.05,56.0,27.0,6.0,44.0,E
295,Watch Dogs,PS4,2014.0,Action,4.05,80.0,80.0,6.3,2996.0,M
296,Namco Museum Vol.3,PS,1996.0,Misc,4.05,,,,,
297,Tekken Tag Tournament,PS2,2000.0,Fighting,4.05,85.0,25.0,8.5,117.0,T
298,Far Cry 4,PS4,2014.0,Shooter,4.04,85.0,83.0,7.7,1653.0,M
299,Star Fox 64,N64,1997.0,Shooter,4.03,,,,,
300,Golf,NES,1984.0,Sports,4.01,,,,,
301,Namco Museum: 50th Anniversary,PS2,2005.0,Misc,3.98,61.0,21.0,7.13,,E10+
302,Left 4 Dead 2,X360,2009.0,Shooter,3.97,89.0,76.0,8.6,681.0,M
303,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,3.97,92.0,79.0,9.2,10179.0,M
304,Assassin's Creed: Unity,PS4,2014.0,Action,3.96,70.0,40.0,4.9,2050.0,M
